time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
2945,128.449,126.3676,991.5378,9.231339,0.04345703, 0.002929688, 0.04785156, -4.967031, -40.40391, 29.72984,130.5303,0,2,45
3011,129.0459,129.6428,991.4197,9.231339,0.05175781, 0.001953125, 0.04931641, -3.748281, -39.09141, 34.99547,130.5303,1,2,45
3078,129.3444,129.6428,991.4197,-1,0.05908203, -0.0004882813, 0.06152344, -2.904531, -38.52891, 40.37047,130.5303,2,2,45
3145,128.8047,128.2651,991.4695,-1,0.0703125, -0.00390625, 0.04589844, -0.8576563, -37.93516, 48.58922,130.5303,3,2,45
3212,128.3833,127.9619,991.4803,-1,0.09326172, -0.008300781, 0.03564453, 3.048594, -38.84141, 58.57359,130.5303,4,2,45
3374,125.8418,123.3004,991.6481,-1,0.1645508, -0.05566406, 0.01123047, 19.59547, -56.96641, 87.24547,130.5303,5,3,45
3443,124.974,124.1062,991.6191,-1,0.2099609, -0.08740234, -0.04345703, 32.31422, -78.90391, 99.97984,130.5303,5,3,45
3511,125.6318,126.2896,991.5405,-1,0.2568359, -0.1274414, -0.01171875, 52.82985, -117.4977, 109.8548,130.5303,5,3,45
3580,124.9773,124.3228,991.6114,-1,0.4077148, -0.1655273, -0.4350586, 86.76734, -178.4664, 111.3236,130.5303,5,3,45
3648,123.1901,121.4028,991.7162,-1,0.4365234, -0.03759766, -0.1376953, 120.1111, -245.982, 93.87047,130.5303,5,3,45
3718,121.7506,120.3111,991.7556,-1,0.07373047, -0.3745117, -0.3447266, 172.158, -238.4039, 53.04234,130.5303,5,3,45
3791,119.8352,117.9197,991.8419,-1,0.1142578, -0.4804688, -0.4438477, 198.5486, -171.0758, 0.6204689,130.5303,5,3,45
3864,116.6896,113.5441,991.9992,-1,0.1015625, -0.5151367, -0.3881836, 204.158, -101.2008, -6.660781,130.5303,5,3,45
3937,110.0611,103.4326,992.3636,-1,0.06396484, -0.5205078, -0.3515625, 208.1111, -33.27891, -15.94203,130.5303,5,3,45
4009,101.2883,92.51538,992.7568,-1,0.07470703, -0.527832, -0.1806641, 206.6111, 17.33047, -9.410781,130.5303,5,3,45
4079,94.61004,87.93182,992.9218,-1,0.02734375, -0.5185547, -0.0625, 204.3142, 20.50234, 0.3548439,130.5303,5,3,45
4151,86.90836,79.20667,993.2364,-1,0.08056641, -0.3999023, 0.1796875, 191.6111, -6.216406, 6.339219,130.5303,5,3,45
4317,80.3325,73.75665,993.433,-1,-0.01074219, -0.3081055, 0.1899414, 131.4392, -75.99766, -3.254531,130.5303,5,3,45
4393,75.95287,71.57324,993.5117,9.212968,0.06542969, -0.2143555, 0.4106445, 71.43922, -161.0758, -7.004531,130.5303,5,3,45
4469,73.61575,71.27863,993.5223,-1,0.390625, -0.203125, 0.4472656, 25.67359, -226.7789, -0.1920311,130.5303,5,3,45
4545,70.01247,66.40918,993.6978,-1,0.6469727, -0.15625, 0.440918, -8.545156, -363.982, 19.33922,130.5303,5,3,45
4621,65.08292,60.15338,993.9232,-1,0.5112305, -0.1708984, -0.05322266, -20.24828, -335.107, 40.69859,130.5303,5,3,45
4696,59.49459,53.90625,994.1487,9.199191,0.9287109, -1.026367, -0.03515625, -6.404531, -310.7477, 81.41734,130.5303,5,3,45
