time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,2.559914,6.522629,998.6739,20.02027,0.0078125, 0.01464844, 1.053711, 0.4015625, 0.1985936, 0.2098436,0,1,2,0
91,4.255344,5.950775,998.775,-1,0.004394531, 0.01806641, 1.044434, 0.01093745, -0.06703138, 0.03796864,2.559914,0,2,0
269,6.896616,9.537888,998.8152,-1,0.002441406, 0.01708984, 1.046875, 0.02656245, 0.01109362, 0.006718636,4.255344,0,2,0
436,12.3329,17.76918,998.6646,-1,0.002929688, 0.01660156, 1.047363, -0.02031255, 0.01109362, 0.02234364,6.896616,0,2,0
683,22.90109,33.46928,998.6348,-1,0.00390625, 0.01904297, 1.049316, -0.09843755, -0.03578138, 0.03796864,12.3329,0,2,0
854,33.56585,44.23061,998.7451,-1,0.003417969, 0.015625, 1.047363, -0.004687548, -0.05140638, 0.006718636,22.90109,0,2,0
1026,41.77485,49.98385,998.5739,-1,0.004394531, 0.01757813, 1.047852, 0.01093745, 0.01109362, -0.02453136,33.56585,0,2,0
1199,49.34515,56.91546,998.7347,-1,0.003417969, 0.01708984, 1.049805, -0.02031255, 0.02671862, 0.006718636,41.77485,0,2,0
1380,57.81781,66.29047,998.6739,-1,0.001953125, 0.01660156, 1.047363, 0.08906245, -0.004531384, -0.04015636,49.34515,0,2,0
1563,63.58775,69.3577,998.7544,-1,0.003417969, 0.01757813, 1.049316, -0.02031255, -0.02015638, -0.04015636,57.81781,0,2,0
1745,68.95944,74.33114,998.5832,-1,0.002441406, 0.01806641, 1.044922, -0.09843755, -0.05140638, 0.006718636,63.58775,0,2,0
1933,75.09377,81.22809,998.6132,-1,0.002929688, 0.01660156, 1.046875, 0.02656245, 0.01109362, 0.05359364,68.95944,0,2,0
2191,79.40862,83.72347,998.6234,20.00194,0.002929688, 0.01611328, 1.04541, -0.004687548, -0.03578138, -0.008906364,75.09377,0,2,0
2390,82.51914,85.62967,998.7742,-1,0.003417969, 0.01757813, 1.05127, -0.02031255, -0.02015638, 0.006718636,79.40862,0,2,0
2584,83.54587,84.57259,998.7339,-1,0.001953125, 0.01904297, 1.047852, -0.004687548, 0.01109362, 0.02234364,82.51914,0,2,0
2780,83.5047,83.46353,998.6627,19.99278,0.002441406, 0.01611328, 1.04834, -0.004687548, 0.01109362, 0.006718636,83.54587,0,2,0
2982,81.01474,78.52477,998.5522,19.99278,0.00390625, 0.01660156, 1.046875, -0.02031255, -0.02015638, -0.02453136,83.54587,1,2,0
3184,78.66936,76.32397,998.6627,-1,0.002929688, 0.01757813, 1.047363, -0.02031255, 0.01109362, 0.02234364,83.54587,2,2,0
3386,78.59706,78.52477,998.6925,19.98361,0.002929688, 0.01806641, 1.049316, 0.02656245, -0.004531384, 0.006718636,83.54587,3,2,0
3691,70.86682,63.13658,998.6018,-1,0.00390625, 0.01806641, 1.047363, 0.01093745, -0.02015638, 0.03796864,83.54587,4,2,0
3852,64.24638,57.62595,998.7523,-1,0.002929688, 0.01708984, 1.045898, -0.004687548, -0.03578138, -0.02453136,83.54587,5,3,0
4019,57.91225,51.57812,998.7225,19.97445,0.003417969, 0.01855469, 1.049316, -0.004687548, -0.08265638, -0.04015636,83.54587,5,3,0
4187,55.04844,52.18463,998.6616,19.97445,0.00390625, 0.01806641, 1.04834, -0.03593755, -0.05140638, -0.04015636,83.54587,5,3,0
4358,53.37393,51.69942,998.6616,19.96987,0.002441406, 0.02001953, 1.046875, -0.06718755, -0.03578138, -0.008906364,83.54587,5,3,0
4528,49.81602,46.2581,998.7121,19.96987,0.002929688, 0.01904297, 1.045898, 0.01093745, -0.06703138, -0.02453136,83.54587,5,3,0
4702,44.34598,38.87594,998.642,-1,0.004394531, 0.015625, 1.047852, 0.02656245, 0.02671862, -0.02453136,83.54587,5,3,0
4883,43.54314,42.74031,998.6523,19.98819,0.002929688, 0.01806641, 1.047363, -0.03593755, 0.05796862, 0.02234364,83.54587,5,3,0
5132,39.99651,36.44987,998.673,-1,0.003417969, 0.01806641, 1.04834, -0.03593755, -0.03578138, -0.05578136,83.54587,5,3,0
5312,35.91843,31.84035,998.6832,20.00194,0.00390625, 0.01708984, 1.047852, -0.02031255, -0.02015638, 0.006718636,83.54587,5,3,0
5494,34.58988,33.26133,998.6937,-1,0.001953125, 0.015625, 1.04834, -0.03593755, 0.01109362, 0.006718636,83.54587,5,3,0
5682,31.86345,29.13702,998.6039,-1,0.002441406, 0.01855469, 1.04834, -0.004687548, -0.02015638, -0.008906364,83.54587,5,3,0
5869,27.34635,22.82925,998.5934,-1,0.00390625, 0.01855469, 1.046387, 0.01093745, 0.05796862, 0.006718636,83.54587,5,3,0
6060,23.7448,20.14326,998.7141,-1,0.00390625, 0.01611328, 1.045898, -0.06718755, 0.01109362, 0.006718636,83.54587,5,3,0
6252,20.57504,17.40527,998.6244,20.02027,0.002929688, 0.01708984, 1.046875, -0.02031255, -0.02015638, 0.006718636,83.54587,5,3,0
6519,17.09262,13.61021,998.7256,20.03859,0.00390625, 0.01611328, 1.049316, -0.02031255, 0.04234362, 0.03796864,83.54587,5,3,0
6714,14.56294,12.03326,998.6451,-1,0.002929688, 0.01757813, 1.049316, 0.02656245, 0.01109362, -0.008906364,83.54587,5,3,0
6914,11.66051,8.758087,998.7163,20.04775,0.004394531, 0.01708984, 1.045898, 0.02656245, 0.05796862, 0.006718636,83.54587,5,3,0
7117,10.49523,9.329941,998.6359,-1,0.00390625, 0.01611328, 1.04834, 0.01093745, -0.004531384, -0.05578136,83.54587,5,3,0
7320,6.620066,2.744904,998.6865,-1,0.001953125, 0.01806641, 1.046875, 0.04218745, 0.04234362, -0.008906364,83.54587,5,3,0
7486,5.800206,4.980347,998.5865,-1,0.002441406, 0.01806641, 1.047363, 0.01093745, 0.02671862, -0.02453136,83.54587,5,4,0
7653,4.98305,4.165894,998.5967,-1,0.002929688, 0.01953125, 1.048828, 0.01093745, -0.03578138, -0.02453136,83.54587,5,4,0
7833,4.167238,3.351425,998.6669,-1,0.002929688, 0.01855469, 1.047852, 0.02656245, 0.02671862, 0.006718636,83.54587,5,4,0
8076,2.658937,1.150635,998.6772,20.07066,0.002441406, 0.01855469, 1.047363, 0.04218745, -0.004531384, 0.03796864,83.54587,5,4,0
8245,3.005181,3.351425,998.6772,20.06608,0.002929688, 0.01855469, 1.046387, 0.02656245, 0.01109362, -0.02453136,83.54587,5,4,0
8418,1.939274,0.8733673,998.7174,20.06608,0.002929688, 0.01904297, 1.048828, -0.02031255, -0.08265638, -0.008906364,83.54587,5,4,0
8595,1.544955,1.150635,998.6669,-1,0.001953125, 0.01806641, 1.049316, 0.02656245, 0.02671862, 0.006718636,83.54587,5,4,0
8774,3.279985,5.015015,998.6669,-1,0.003417969, 0.01708984, 1.048828, -0.03593755, 0.01109362, -0.02453136,83.54587,5,4,0
8952,2.076676,0.8733673,998.6875,-1,0.002441406, 0.01806641, 1.047852, -0.05156255, 0.02671862, -0.07140636,83.54587,5,4,0
9133,2.991311,3.905945,998.5761,-1,0.003417969, 0.01806641, 1.047363, -0.004687548, -0.03578138, 0.02234364,83.54587,5,4,0
