time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,3.156036,6.522629,998.7191,-1,-0.1181641, -0.01660156, 1.039063, -0.03796875, -0.4740624, -0.02953124,0,1,2,0
91,4.553406,5.950775,998.7294,-1,-0.1113281, -0.01708984, 1.040039, 0.008906245, -0.3178124, 0.01734376,3.156036,0,2,0
269,7.045647,9.537888,998.6581,24.80555,-0.1142578, -0.01757813, 1.039551, -0.006718755, 0.1040626, 0.04859376,4.553406,0,2,0
436,12.40741,17.76918,998.6986,-1,-0.112793, -0.01806641, 1.040039, 0.008906245, 0.02593756, 0.04859376,7.045647,0,2,0
683,22.93835,33.46928,998.5969,24.79182,-0.1137695, -0.01513672, 1.040527, -0.03796875, -0.08343744, 0.00171876,12.40741,0,2,0
854,33.58448,44.23061,998.6884,-1,-0.1147461, -0.01660156, 1.040039, 0.008906245, 0.02593756, 0.04859376,22.93835,0,2,0
1026,41.78416,49.98385,998.7086,-1,-0.1132813, -0.01611328, 1.037109, 0.008906245, 0.7603126, 0.01734376,33.58448,0,2,0
1199,49.34981,56.91546,998.6373,-1,-0.1132813, -0.01660156, 1.041016, -0.006718755, -0.09906244, 0.01734376,41.78416,0,2,0
1380,57.82014,66.29047,998.6781,-1,-0.1118164, -0.01464844, 1.042969, 0.3839063, -0.2396874, 0.03296876,49.34981,0,2,0
1563,63.58892,69.3577,998.6781,-1,-0.105957, -0.01416016, 1.041992, -0.4129687, 2.994688, 0.1579688,57.82014,0,2,0
1745,68.96003,74.33114,998.6781,24.79182,-0.1157227, -0.01708984, 1.038574, -0.1004688, 1.244688, 0.00171876,63.58892,0,2,0
1933,75.09406,81.22809,998.7597,24.81928,-0.1108398, -0.01660156, 1.04248, 0.02453125, -0.5678124, 0.03296876,68.96003,0,2,0
2191,79.40877,83.72347,998.8206,-1,-0.112793, -0.01611328, 1.040039, 0.02453125, 0.07281256, 0.01734376,75.09406,0,2,0
2390,82.51922,85.62967,998.6884,24.79182,-0.1118164, -0.01611328, 1.041016, 0.008906245, -0.03656244, -0.02953124,79.40877,0,2,0
2584,83.54591,84.57259,998.7392,-1,-0.1108398, -0.01708984, 1.039551, -0.06921875, -0.05218744, 0.01734376,82.51922,0,2,0
2780,83.50471,83.46353,998.6174,-1,-0.1118164, -0.01757813, 1.040039, 0.04015625, -0.1146874, 0.01734376,83.54591,0,2,0
2982,81.01474,78.52477,998.6478,24.80097,-0.1113281, -0.01660156, 1.039551, -0.03796875, -0.005312443, 0.00171876,83.54591,1,2,0
3184,78.66936,76.32397,998.6986,-1,-0.1132813, -0.01757813, 1.040527, -0.006718755, -0.03656244, 0.06421876,83.54591,2,2,0
3386,78.59706,78.52477,998.6986,-1,-0.1118164, -0.01660156, 1.041504, -0.05359375, -0.03656244, 0.01734376,83.54591,3,2,0
3691,70.86682,63.13658,998.6781,-1,-0.1118164, -0.01513672, 1.041992, -0.03796875, -0.06781244, 0.06421876,83.54591,4,2,0
3852,64.24638,57.62595,998.7594,24.79182,-0.1123047, -0.01708984, 1.041016, 0.008906245, -0.08343744, 0.01734376,83.54591,5,3,0
