time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,3.461037,6.522629,998.8239,-1,-0.1220703, -0.01123047, 1.033203, 0.04843748, 0.01421881, -0.02453136,0.3994446,0,2,0
91,4.705906,5.950775,998.8064,35.51618,-0.1220703, -0.01855469, 1.038086, 0.01718748, -0.001406193, -0.008906364,3.461037,0,2,0
269,7.121897,9.537888,998.8764,-1,-0.1230469, -0.01660156, 1.036621, 0.04843748, 0.06109381, 0.02234364,4.705906,0,2,0
436,12.44554,17.76918,998.8434,35.33354,-0.1225586, -0.01708984, 1.034668, 0.01718748, 0.01421881, -0.04015636,7.121897,0,2,0
683,22.95741,33.46928,998.7704,35.22395,-0.1220703, -0.02148438, 1.039063, -0.02968752, -0.01703119, -0.02453136,12.44554,0,2,0
854,33.59401,44.23061,998.7689,35.1235,-0.1220703, -0.01806641, 1.037598, 0.01718748, -0.001406193, -0.02453136,22.95741,0,2,0
1026,41.78893,49.98385,998.8915,-1,-0.1225586, -0.01660156, 1.038574, 0.03281248, 0.02984381, 0.006718636,33.59401,0,2,0
1199,49.3522,56.91546,998.8897,-1,-0.1225586, -0.01660156, 1.036133, -0.02968752, 0.01421881, 0.03796864,41.78893,0,2,0
1380,57.82133,66.29047,998.8464,-1,-0.1225586, -0.01660156, 1.036621, 0.001562476, -0.01703119, 0.02234364,49.3522,0,2,0
1563,63.58952,69.3577,998.8332,-1,-0.1220703, -0.01855469, 1.038086, -0.04531252, 0.04546881, -0.008906364,57.82133,0,2,0
1745,68.96033,74.33114,998.8423,-1,-0.1206055, -0.01611328, 1.037598, 0.01718748, -0.01703119, -0.02453136,63.58952,0,2,0
1933,75.09421,81.22809,998.8073,-1,-0.1225586, -0.01708984, 1.040039, 0.001562476, 0.01421881, 0.03796864,68.96033,0,2,0
2191,79.40884,83.72347,998.855,-1,-0.1201172, -0.01904297, 1.038574, 0.01718748, 0.04546881, -0.008906364,75.09421,0,2,0
2390,82.51926,85.62967,998.8641,-1,-0.1230469, -0.01855469, 1.037109, 0.001562476, 0.06109381, 0.006718636,79.40884,0,2,0
2584,83.54593,84.57259,998.8702,34.31062,-0.1235352, -0.01757813, 1.036621, 0.06406248, -0.03265619, 0.03796864,82.51926,0,2,0
2780,83.50473,83.46353,998.7733,34.22842,-0.1220703, -0.01660156, 1.039551, 0.03281248, 0.02984381, -0.04015636,83.54593,0,2,0
2982,81.01476,78.52477,998.8356,-1,-0.1220703, -0.01757813, 1.036621, 0.001562476, 0.01421881, 0.006718636,83.54593,1,2,0
3184,78.66936,76.32397,998.7612,-1,-0.1220703, -0.01855469, 1.039551, -0.01406252, 0.06109381, -0.05578136,83.54593,2,2,0
3386,78.59706,78.52477,998.7869,-1,-0.1220703, -0.01708984, 1.038574, 0.01718748, -0.04828119, -0.04015636,83.54593,3,2,0
3691,70.86682,63.13658,998.8225,-1,-0.1220703, -0.01757813, 1.040039, 0.01718748, 0.02984381, -0.008906364,83.54593,4,2,0
3852,64.24638,57.62595,998.9211,33.81735,-0.1230469, -0.01904297, 1.037109, 0.01718748, 0.01421881, -0.02453136,83.54593,5,3,0
4019,57.91225,51.57812,998.8455,33.72599,-0.1210938, -0.01855469, 1.035156, 0.03281248, 0.01421881, 0.03796864,83.54593,5,3,0
4187,55.04844,52.18463,998.8225,33.62094,-0.1230469, -0.01855469, 1.038574, 0.04843748, 0.02984381, -0.05578136,83.54593,5,3,0
4358,53.37393,51.69942,998.7469,33.52501,-0.1230469, -0.01757813, 1.038086, -0.01406252, 0.06109381, 0.006718636,83.54593,5,3,0
4528,49.81602,46.2581,998.7322,-1,-0.1230469, -0.01904297, 1.037598, -0.07656252, 0.01421881, -0.02453136,83.54593,5,3,0
