pressure,raw_altitude
1015.623,38.32674764984341
1015.37,45.2210697157929
1015.279,47.701185771733684
1015.208,49.63634638210455
1015.247,48.57335727103274
1015.288,47.45589154802349
1015.469,42.52312587870811
1015.55,40.31587569332418
1015.469,42.52312587870811
1016.034,27.129844499153208
1016.236,21.62808782270281
1016.458,15.582624023813366
1016.436,16.181676312600686
1016.454,15.691541840871139
1016.654,10.246076084499705
1016.925,2.8688537801052263
1016.783,6.734210826417538
1017.014,0.44642321550537645
1017.184,-4.180214311901068
1017.131,-2.737859199239125
1017.283,-6.874261816748543
1017.515,-13.186753698546212
1017.614,-15.88009159708676
1017.714,-18.600419546126574
1017.854,-22.408515086483092
1017.912,-23.98603042012624
1018.032,-27.249624194422267
1018.011,-26.67851777064044
1018.253,-33.25926106497414
1018.171,-31.029564295271655
1018.201,-31.84532388234703
1018.231,-32.66106400788857
1018.312,-34.8634651444911
1018.231,-32.66106400788857
1018.322,-35.13535668200487
1018.312,-34.8634651444911
1018.17,-31.002371973841235
1018.322,-35.13535668200487
1018.21,-32.09004796343538
