time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.314384,6.522629,990.5674,-1,0.1904297, 1.016113, -0.002441406, 4.196875, 9.271719, -14.14656,0.1061401,0,0,False,False,0
91,4.63258,5.950775,990.6178,19.29631,0.190918, 0.9545898, -0.01953125, 3.978125, 11.30297, -12.16219,3.314384,0,0,False,False,0
269,7.085234,9.537888,990.6375,19.29631,0.2050781, 0.9521484, -0.02197266, 3.446875, 9.177969, -11.70906,4.63258,0,0,False,False,0
436,12.42721,17.76918,990.5273,19.30547,0.1064453, 1.01709, 0.03564453, 2.5875, 5.381094, -12.24031,7.085234,0,0,False,False,0
683,22.94824,33.46928,990.5972,19.29631,0.08789063, 1.010254, 0.05664063, 3.0875, 2.631094, -9.505938,12.42721,0,0,False,False,0
854,33.58943,44.23061,990.587,19.29631,0.1245117, 0.9648438, -0.002441406, 4.68125, -5.212656, -5.646563,22.94824,0,2,False,True,0
1026,41.78664,49.98385,990.6776,-1,0.1401367, 0.9873047, -0.02832031, 4.509375, -6.712656, -3.584063,33.58943,0,2,False,True,0
1199,49.35105,56.91546,990.6178,-1,0.1435547, 1.003906, -0.006835938, 2.86875, -7.072031, -0.6934376,41.78664,0,2,False,True,0
1380,57.82076,66.29047,990.5273,-1,0.1748047, 0.9799805, 0.02197266, 3.040625, -7.712656, 0.6971874,49.35105,0,2,False,True,0
1563,63.58923,69.3577,990.5273,19.30089,0.2421875, 0.9633789, -0.07470703, 3.196875, -12.10328, 0.3690624,57.82076,0,2,False,True,0
1745,68.96018,74.33114,990.5674,-1,0.2275391, 0.9975586, -0.07519531, 1.478125, -10.25953, -0.9590626,63.58923,0,2,False,True,0
1933,75.09413,81.22809,990.5375,19.30547,0.2138672, 0.9882813, -0.02783203, -0.7718749, -0.212656, -0.8809376,68.96018,0,2,False,True,0
2191,79.4088,83.72347,990.6178,-1,0.1552734, 0.9794922, 0.02148438, -0.5999999, 4.599844, -0.4278126,75.09413,0,2,False,True,0
2390,82.51923,85.62967,990.557,19.31005,0.2055664, 0.9643555, 0.02587891, 0.7750001, 5.224844, 0.7284374,79.4088,0,2,False,True,0
2584,83.54591,84.57259,990.5972,19.29631,0.1904297, 0.9916992, 0.04589844, 1.86875, 5.506094, 0.3534374,82.51923,0,2,False,True,0
2780,83.50472,83.46353,990.6178,-1,0.1767578, 0.9794922, 0.01416016, 3.4625, 2.099844, 0.1346874,83.54591,0,2,False,True,0
2982,81.01475,78.52477,990.6076,-1,0.2558594, 0.9604492, -0.08007813, 4.259375, 0.615469, 0.6971874,83.54591,1,2,False,True,0
3184,78.66936,76.32397,990.5273,19.30547,0.1625977, 0.9750977, -0.09667969, 2.55625, 3.334219, -0.5215626,83.54591,2,2,False,True,0
3386,78.59706,78.52477,990.4973,-1,0.2241211, 1.006348, -0.02832031, 0.6500001, -1.525156, -1.115313,83.54591,3,2,False,True,0
3691,70.86682,63.13658,990.5674,-1,0.1982422, 0.8823242, -0.0859375, 0.8062501, -3.665781, -1.787188,83.54591,4,2,False,True,0
3852,64.24638,57.62595,990.6076,-1,0.199707, 0.9257813, -0.1801758, 2.103125, -3.868906, -1.474688,83.54591,5,3,True,True,0
4019,57.91225,51.57812,990.658,19.30089,0.2177734, 0.9995117, -0.1264648, -5.6625, 2.771719, -2.943438,83.54591,5,3,True,True,0
4187,55.04844,52.18463,990.6278,-1,0.2363281, 0.9902344, -0.01904297, -8.69375, 4.615469, -3.630938,83.54591,5,3,True,True,0
4358,53.37393,51.69942,990.658,-1,0.2114258, 0.9838867, 0.04052734, -9.209375, 4.599844, -4.787188,83.54591,5,3,True,True,0
4528,49.81602,46.2581,990.5776,-1,0.06933594, 0.9423828, 0.07324219, -4.81875, 2.646719, -4.693438,83.54591,5,3,True,True,0
4702,44.34598,38.87594,990.6879,-1,0.1547852, 0.9316406, 0.1323242, -1.9125, 0.396719, -1.959063,83.54591,5,3,True,True,0
4883,43.54314,42.74031,990.6278,19.31005,0.2827148, 0.9765625, 0.1855469, 7.009375, -5.072031, -0.5059376,83.54591,5,3,True,True,0
5132,39.99651,36.44987,990.6178,-1,0.1796875, 0.9604492, -0.1254883, 13.44687, 2.912344, -0.7246876,83.54591,5,3,True,True,0
5312,35.91843,31.84035,990.6384,19.30547,0.25, 1.022949, -0.2456055, 12.79062, -4.915781, -0.9434376,83.54591,5,3,True,True,0
5494,34.58988,33.26133,990.6178,19.31005,0.2978516, 1.09375, -0.1884766, 6.290625, -9.822031, -1.490313,83.54591,5,3,True,True,0
5682,31.86345,29.13702,990.6178,19.30547,0.2597656, 0.9750977, 0.01123047, 4.540625, 3.302969, -3.584063,83.54591,5,3,True,True,0
5869,27.34635,22.82925,990.5475,-1,-0.09716797, 0.9824219, 0.02294922, 7.790625, -5.431406, -4.240313,83.54591,5,3,True,True,0
6060,23.7448,20.14326,990.6384,-1,0.01611328, 0.956543, -0.1328125, 8.025, -26.57203, 1.244062,83.54591,5,3,True,True,0
6252,20.57504,17.40527,990.6178,-1,0.3823242, 1.022461, -0.2070313, 3.665625, -26.38453, 3.447187,83.54591,5,3,True,True,0
6519,17.09262,13.61021,990.5375,19.30547,0.3095703, 1.015137, -0.1772461, 4.18125, 2.615469, 2.978437,83.54591,5,3,True,True,0
6714,14.56294,12.03326,990.6178,-1,0.2294922, 0.9394531, -0.07275391, 4.446875, 7.177969, 0.05656242,83.54591,5,3,True,True,0
6914,11.66051,8.758087,990.6278,-1,0.1420898, 0.9521484, -0.03808594, 3.93125, 4.099844, -1.459063,83.54591,5,3,True,True,0
7117,10.49523,9.329941,990.6178,19.30089,0.1855469, 0.9716797, -0.03466797, 3.9625, -1.915781, -2.865313,83.54591,5,3,True,True,0
7320,6.620066,2.744904,990.6278,19.30547,0.02050781, 0.8725586, -0.5791016, 5.15, -4.243906, -2.724688,83.54591,5,3,True,True,0
7486,5.800206,4.980347,990.6981,19.30089,0.1577148, 0.7744141, -1.462402, 13.525, -1.478281, -0.5996876,83.54591,5,4,True,True,0
7653,4.98305,4.165894,990.6178,19.30089,-0.1035156, 0.972168, 0.1279297, 1.05625, 2.115469, 3.728437,83.54591,5,4,True,True,0
7833,4.167238,3.351425,990.6785,-1,0.1982422, 1.084473, -0.008300781, 8.93125, 9.584219, 4.197187,83.54591,5,4,True,True,0
8076,2.658937,1.150635,990.6076,19.30547,0.1884766, 0.9765625, -0.2192383, -0.2093749, 0.224844, 3.150312,83.54591,5,4,True,True,0
8245,3.005181,3.351425,990.4973,-1,0.2749023, 0.984375, -0.1235352, -2.85, -5.868906, 1.712812,83.54591,5,4,True,True,0
