time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.829269,6.522629,1002.096,-1,0.008789063, 0.2080078, 1.036621, -1.182812, -1.823594, -0.38375,1.13591,0,2,False,False,0
91,4.890022,5.950775,1002.045,-1,-0.01269531, 0.1821289, 1.011719, 0.3953125, 2.613906, -0.08687496,3.829269,0,2,False,False,0
269,7.213955,9.537888,1002.005,-1,-0.008789063, 0.1943359, 1.037598, -1.104687, -1.886094, -0.32125,4.890022,0,2,False,False,0
436,12.49157,17.76918,1002.005,-1,-0.01464844, 0.1943359, 1.035645, -0.07343745, 1.207656, -0.13375,7.213955,0,2,False,False,0
683,22.98042,33.46928,1002.015,24.10525,-0.009765625, 0.1948242, 1.024414, -0.4484375, -2.151719, 0.06937504,12.49157,0,2,False,False,0
854,33.60551,44.23061,1002.096,24.10525,-0.0078125, 0.1972656, 1.027832, -0.04218745, 0.5826564, -0.1025,22.98042,0,2,False,True,0
1026,41.79468,49.98385,1002.005,-1,-0.01367188, 0.190918, 1.028809, -0.07343745, 0.5670314, -0.05562496,33.60551,0,2,False,True,0
1199,49.35507,56.91546,1002.045,24.10067,-0.004394531, 0.1933594, 1.030273, 0.2234375, 0.6295314, -0.07124996,41.79468,0,2,False,True,0
1380,57.82277,66.29047,1002.076,-1,-0.009277344, 0.1875, 1.029785, 0.03593755, 0.05140638, -0.02437496,49.35507,0,2,False,True,0
1563,63.59023,69.3577,1001.994,-1,-0.005859375, 0.1923828, 1.029297, -0.05781245, -0.2767186, -0.02437496,57.82277,0,2,False,True,0
1745,68.96069,74.33114,1002.045,24.09609,-0.008789063, 0.1899414, 1.029297, -0.01093745, -0.04234362, 0.05375004,63.59023,0,2,False,True,0
1933,75.09439,81.22809,1002.015,-1,-0.008300781, 0.1923828, 1.02832, 0.09843755, 0.4264064, -0.008749962,68.96069,0,2,False,True,0
2191,79.40894,83.72347,1002.035,24.10525,-0.01025391, 0.1923828, 1.027344, -0.04218745, 0.1920314, -0.02437496,75.09439,0,2,False,True,0
2390,82.5193,85.62967,1002.076,-1,-0.009765625, 0.1953125, 1.029297, 0.08281255, 0.2232814, -0.008749962,79.40894,0,2,False,True,0
2584,83.54594,84.57259,1001.934,-1,-0.01123047, 0.1962891, 1.027344, 0.05156255, -0.2142186, 0.06937504,82.5193,0,2,False,True,0
2780,83.50474,83.46353,1001.994,24.09609,-0.009277344, 0.2041016, 1.044922, 0.1140625, -0.07359362, 0.006875038,83.54594,0,2,False,True,0
2982,81.01476,78.52477,1001.994,-1,-0.01171875, 0.1972656, 1.03418, -0.8078125, -0.7767186, -0.243125,83.54594,1,2,False,True,0
3184,78.66936,76.32397,1001.994,24.10067,-0.01708984, 0.1889648, 1.050293, 0.4109375, 0.4576564, 0.131875,83.54594,2,2,False,True,0
3386,78.59706,78.52477,1002.005,-1,-0.004394531, 0.1884766, 1.022461, -0.4953125, -0.7454686, -0.02437496,83.54594,3,2,False,True,0
3691,70.86682,63.13658,1002.086,-1,-0.009277344, 0.1899414, 1.027344, 0.4734375, 1.442031, 0.06937504,83.54594,4,2,False,True,0
3852,64.24638,57.62595,1002.005,24.09609,-0.0078125, 0.1953125, 1.029297, -0.2296875, -0.2923436, -0.03999996,83.54594,5,3,True,True,0
4019,57.91225,51.57812,1001.994,-1,-0.01123047, 0.1918945, 1.029785, 0.2390625, 1.067031, 0.006875038,83.54594,5,3,True,True,0
4187,55.04844,52.18463,1002.035,24.09609,-0.008300781, 0.1933594, 1.026855, -0.1203125, -0.5735936, 0.006875038,83.54594,5,3,True,True,0
4358,53.37393,51.69942,1002.055,-1,-0.01074219, 0.1948242, 1.029785, 0.09843755, 0.2232814, -0.02437496,83.54594,5,3,True,True,0
4528,49.81602,46.2581,1002.055,-1,-0.01220703, 0.1962891, 1.027344, 0.05156255, 0.2857814, -0.03999996,83.54594,5,3,True,True,0
4702,44.34598,38.87594,1001.974,-1,-0.008300781, 0.1962891, 1.03125, -0.01093745, -0.1985936, -0.05562496,83.54594,5,3,True,True,0
4883,43.54314,42.74031,1002.066,-1,-0.008789063, 0.1933594, 1.02832, -0.07343745, -0.1360936, -0.03999996,83.54594,5,3,True,True,0
5132,39.99651,36.44987,1002.086,24.10525,-0.006347656, 0.1894531, 1.030273, 0.02031255, 0.05140638, -0.008749962,83.54594,5,3,True,True,0
5312,35.91843,31.84035,1002.015,24.10983,-0.007324219, 0.190918, 1.031738, 0.05156255, 0.3326564, -0.03999996,83.54594,5,3,True,True,0
5494,34.58988,33.26133,1002.055,-1,-0.009277344, 0.1914063, 1.030273, 0.09843755, 0.2545314, -0.02437496,83.54594,5,3,True,True,0
5682,31.86345,29.13702,1002.096,-1,-0.01074219, 0.1948242, 1.030273, 0.1921875, 0.4420314, 0.02250004,83.54594,5,3,True,True,0
5869,27.34635,22.82925,1001.964,-1,-0.009277344, 0.1943359, 1.028809, 0.06718755, 0.03578138, 0.03812504,83.54594,5,3,True,True,0
6060,23.7448,20.14326,1001.893,-1,-0.01171875, 0.1938477, 1.034668, -0.02656245, 0.2076564, -0.02437496,83.54594,5,3,True,True,0
6252,20.57504,17.40527,1002.005,24.10067,-0.008789063, 0.1938477, 1.033691, 0.1140625, -0.01109362, -0.008749962,83.54594,5,3,True,True,0
6519,17.09262,13.61021,1001.954,-1,-0.007324219, 0.1928711, 1.026367, -0.05781245, -0.1048436, -0.08687496,83.54594,5,3,True,True,0
6714,14.56294,12.03326,1002.096,24.10067,-0.005859375, 0.1914063, 1.029785, -0.05781245, -0.4017186, -0.05562496,83.54594,5,3,True,True,0
6914,11.66051,8.758087,1001.964,-1,-0.01025391, 0.1923828, 1.029785, -0.02656245, -0.04234362, -0.03999996,83.54594,5,3,True,True,0
7117,10.49523,9.329941,1001.964,24.09609,-0.008300781, 0.1933594, 1.029297, -0.1046875, -0.1048436, 0.006875038,83.54594,5,3,True,True,0
7320,6.620066,2.744904,1001.924,24.10067,-0.008300781, 0.1923828, 1.029297, 0.08281255, 0.4420314, -0.008749962,83.54594,5,3,True,True,0
7486,5.800206,4.980347,1001.994,24.09609,-0.008300781, 0.1938477, 1.029297, 0.1140625, 0.2076564, 0.100625,83.54594,5,4,True,True,0
7653,4.98305,4.165894,1002.045,-1,-0.009765625, 0.1923828, 1.028809, 0.09843755, 0.3326564, 0.03812504,83.54594,5,4,True,True,0
7833,4.167238,3.351425,1001.994,24.10067,-0.008789063, 0.190918, 1.030273, 0.05156255, 0.09828138, 0.05375004,83.54594,5,4,True,True,0
8076,2.658937,1.150635,1002.005,-1,-0.008789063, 0.1904297, 1.030273, 0.02031255, 0.02015638, 0.006875038,83.54594,5,4,True,True,0
8245,3.005181,3.351425,1002.015,-1,-0.008300781, 0.1914063, 1.02832, 0.02031255, -0.05796862, -0.03999996,83.54594,5,4,True,True,0
8418,1.939274,0.8733673,1001.964,24.10525,-0.009765625, 0.1943359, 1.029785, -0.02656245, -0.1985936, -0.08687496,83.54594,5,4,True,True,0
8595,1.544955,1.150635,1002.076,24.10067,-0.009277344, 0.1943359, 1.029297, -0.01093745, -0.1360936, -0.05562496,83.54594,5,4,True,True,0
8774,3.279985,5.015015,1002.015,24.09609,-0.007324219, 0.1943359, 1.02832, -0.01093745, -0.2298436, -0.03999996,83.54594,5,4,True,True,0
8952,2.076676,0.8733673,1001.994,24.10525,-0.008300781, 0.1918945, 1.029297, 0.004687548, 0.2389064, 0.02250004,83.54594,5,4,True,True,0
9133,2.991311,3.905945,1002.005,24.10525,-0.0078125, 0.1918945, 1.028809, 0.02031255, 0.1607814, 0.06937504,83.54594,5,4,True,True,0
