time,temperature,pressure,altitude,errorLog
340548,-1,1016.307,-1.831673,0
340560,21.77928,1016.358,-3.235329,0
340569,-1,1016.266,-0.7399445,0
340579,-1,1016.245,-0.1680832,0
340589,-1,1016.266,-0.7399445,0
340599,21.77928,1016.367,-3.477928,0
340609,-1,1016.286,-1.277145,0
340620,21.77012,1016.245,-0.1680832,0
340629,-1,1016.346,-2.906075,0
340640,21.77012,1016.124,3.124428,0
340649,-1,1016.245,-0.1680832,0
340660,21.76554,1016.266,-0.7399445,0
340670,-1,1016.266,-0.7399445,0
340680,-1,1016.245,-0.1680832,0
340690,21.77928,1016.256,-0.462677,0
340700,-1,1016.205,0.9409714,0
340711,21.77012,1016.245,-0.1680832,0
340721,-1,1016.145,2.552574,0
340731,-1,1016.165,2.0327,0
340740,-1,1016.186,1.460846,0
340750,-1,1016.245,-0.1680832,0
340761,21.77012,1016.286,-1.277145,0
340772,-1,1016.186,1.460846,0
340781,-1,1016.266,-0.7399445,0
340792,21.77012,1016.205,0.9409714,0
340804,-1,1016.266,-0.7399445,0
340813,-1,1016.286,-1.277145,0
340822,-1,1016.245,-0.1680832,0
340831,-1,1016.245,-0.1680832,0
340841,21.77012,1016.307,-1.831673,0
340852,21.7747,1016.165,2.0327,0
340862,-1,1016.387,-4.032463,0
340873,21.77928,1016.377,-3.755196,0
340882,-1,1016.256,-0.462677,0
340893,21.77928,1016.166,1.980713,0
340902,-1,1016.245,-0.1680832,0
340913,21.77012,1016.186,1.460846,0
340924,-1,1016.266,-0.7399445,0
340933,-1,1016.245,-0.1680832,0
340943,21.77928,1016.205,0.9409714,0
340953,-1,1016.205,0.9409714,0
340963,-1,1016.245,-0.1680832,0
340974,21.77928,1016.296,-1.554413,0
340983,-1,1016.215,0.6463776,0
340994,21.77012,1016.265,-0.7052841,0
341004,-1,1016.245,-0.1680832,0
341014,21.77928,1016.256,-0.462677,0
341024,-1,1016.175,1.738106,0
341034,-1,1016.165,2.0327,0
341044,21.77928,1016.205,0.9409714,0
341055,21.77012,1016.235,0.1091766,0
341064,-1,1016.225,0.3864441,0
341075,21.77012,1016.245,-0.1680832,0
341085,-1,1016.165,2.0327,0
341095,-1,1016.186,1.460846,0
341105,21.77012,1016.205,0.9409714,0
341115,-1,1016.245,-0.1680832,0
341124,-1,1016.226,0.3517838,0
341135,21.77012,1016.165,2.0327,0
341145,-1,1016.205,0.9409714,0
341156,-1,1016.245,-0.1680832,0
341165,-1,1016.225,0.3864441,0
341175,-1,1016.347,-2.940735,0
341185,-1,1016.245,-0.1680832,0
341195,-1,1016.245,-0.1680832,0
341206,21.77928,1016.286,-1.277145,0
341215,-1,1016.205,0.9409714,0
341226,21.77012,1016.428,-5.141518,0
341236,-1,1016.245,-0.1680832,0
341247,21.77928,1016.144,2.587227,0
341256,-1,1016.346,-2.906075,0
341266,-1,1016.114,3.401695,0
341277,21.77012,1016.305,-1.814346,0
341287,-1,1016.245,-0.1680832,0
341297,-1,1016.336,-2.646141,0
341308,21.77012,1016.305,-1.814346,0
341317,-1,1016.245,-0.1680832,0
341328,21.7747,1016.165,2.0327,0
341338,-1,1016.165,2.0327,0
341347,-1,1016.165,2.0327,0
341357,-1,1016.245,-0.1680832,0
341367,21.77012,1016.235,0.1091766,0
341377,-1,1016.346,-2.906075,0
341388,-1,1016.184,1.495499,0
341397,-1,1016.245,-0.1680832,0
341408,21.77012,1016.286,-1.277145,0
341418,-1,1016.245,-0.1680832,0
341428,-1,1016.305,-1.814346,0
341438,-1,1016.245,-0.1680832,0
341448,-1,1016.386,-4.015129,0
341458,-1,1016.235,0.1091766,0
341468,-1,1016.286,-1.277145,0
341479,21.76096,1016.255,-0.4280243,0
341489,-1,1016.256,-0.462677,0
341499,-1,1016.165,2.0327,0
341510,21.76096,1016.245,-0.1680832,0
341530,21.76554,1016.286,-1.277145,0
341540,-1,1016.347,-2.940735,0
341551,-1,1016.326,-2.368874,0
341561,-1,1016.165,2.0327,0
341570,-1,1016.245,-0.1680832,0
341579,-1,1016.235,0.1091766,0
341590,-1,1016.326,-2.368874,0
341600,-1,1016.276,-0.9825516,0
341610,-1,1016.225,0.3864441,0
341621,-1,1016.133,2.881821,0
341632,-1,1016.184,1.495499,0
341642,-1,1016.305,-1.814346,0
341652,-1,1016.286,-1.277145,0
341662,-1,1016.144,2.587227,0
341672,-1,1016.326,-2.368874,0
341682,-1,1016.235,0.1091766,0
341692,-1,1016.286,-1.277145,0
341702,-1,1016.386,-4.015129,0
341712,-1,1016.346,-2.906075,0
341722,-1,1016.225,0.3864441,0
341732,-1,1016.184,1.495499,0
341742,-1,1016.316,-2.091606,0
341751,-1,1016.184,1.495499,0
341761,-1,1016.265,-0.7052841,0
341771,-1,1016.316,-2.091606,0
341782,21.76096,1016.235,0.1091766,0
341792,-1,1016.215,0.6463776,0
341803,-1,1016.245,-0.1680832,0
341813,-1,1016.326,-2.368874,0
341823,-1,1016.225,0.3864441,0
