time,temperature,pressure,altitude,errorLog
434328,21.93499,1015.884,-1.4487,0
434339,-1,1015.814,0.474823,0
434349,-1,1015.894,-1.725967,0
434360,21.94415,1015.915,-2.297821,0
434373,21.93957,1015.814,0.474823,0
434384,21.94415,1015.935,-2.835022,0
434396,-1,1015.874,-1.17144,0
434406,-1,1015.935,-2.835022,0
434416,-1,1015.935,-2.835022,0
434426,-1,1015.894,-1.725967,0
434435,-1,1015.854,-0.6342392,0
434444,-1,1015.814,0.474823,0
434456,21.93499,1015.814,0.474823,0
434465,-1,1015.793,1.046677,0
434475,-1,1015.824,0.1802292,0
434485,-1,1015.894,-1.725967,0
434496,21.93957,1015.975,-3.92675,0
434506,-1,1015.763,1.861145,0
434515,-1,1015.965,-3.64949,0
434526,21.93499,1015.996,-4.498611,0
434537,-1,1015.854,-0.6342392,0
434547,-1,1015.975,-3.92675,0
434557,-1,1015.823,0.2148819,0
434567,-1,1015.803,0.7520828,0
434576,-1,1015.793,1.046677,0
434587,-1,1015.803,0.7520828,0
434597,-1,1015.712,3.247467,0
434607,21.93041,1015.733,2.675606,0
434617,-1,1015.733,2.675606,0
434627,21.93041,1015.701,3.524727,0
434637,-1,1015.975,-3.92675,0
434648,21.93499,1015.935,-2.835022,0
434657,-1,1015.844,-0.3396454,0
434667,-1,1015.905,-2.020561,0
434677,21.93041,1015.752,2.138405,0
434688,21.93499,1015.793,1.046677,0
434697,-1,1015.954,-3.372223,0
434707,21.93499,1015.894,-1.725967,0
434717,21.92583,1015.752,2.138405,0
434728,21.92583,1015.884,-1.4487,0
434738,-1,1015.844,-0.3396454,0
434749,-1,1015.924,-2.540428,0
434759,-1,1015.894,-1.725967,0
434768,-1,1015.824,0.1802292,0
434778,21.93957,1015.752,2.138405,0
434789,21.92583,1015.833,-0.06237793,0
434799,-1,1015.793,1.046677,0
434809,-1,1015.894,-1.725967,0
434819,-1,1015.975,-3.92675,0
434830,21.92583,1015.803,0.7520828,0
434839,-1,1015.793,1.046677,0
434850,-1,1015.863,-0.8768463,0
434859,-1,1015.933,-2.800369,0
434869,-1,1015.854,-0.6342392,0
434880,21.93041,1015.874,-1.17144,0
434890,-1,1015.863,-0.8768463,0
434901,21.92125,1015.814,0.474823,0
434910,-1,1015.712,3.247467,0
434920,21.94415,1015.793,1.046677,0
434930,21.93499,1015.954,-3.372223,0
434941,21.92583,1015.924,-2.540428,0
434951,21.93499,1015.975,-3.92675,0
434961,-1,1015.914,-2.263168,0
434971,-1,1015.863,-0.8768463,0
434980,-1,1015.814,0.474823,0
434991,21.92125,1015.884,-1.4487,0
435002,21.92583,1015.854,-0.6342392,0
435011,-1,1015.814,0.474823,0
435021,-1,1015.793,1.046677,0
435032,21.92583,1015.986,-4.221344,0
435041,-1,1015.823,0.2148819,0
