time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.25655,6.522629,1007.36,17.19708,-0.01074219, 1.001953, 0.04443359, 12.86578, 6.98, -2.977031,0,1,1,False,False,0
91,4.603662,5.950775,1007.29,-1,-0.0009765625, 1.022949, 0.04736328, 12.53766, 6.5425, -2.508281,3.25655,0,1,False,False,0
269,7.070775,9.537888,1007.41,-1,0.005371094, 1.013184, 0.05322266, 12.50641, 7.0425, -2.508281,4.603662,0,1,False,False,0
436,12.41998,17.76918,1007.4,-1,0.001464844, 0.9873047, 0.04394531, 12.03766, 5.620625, -2.492656,7.070775,0,1,False,False,0
683,22.94463,33.46928,1007.389,-1,0.004882813, 0.9853516, 0.04833984, 10.75641, 5.651875, -1.195781,12.41998,0,1,False,False,0
854,33.58762,44.23061,1007.24,-1,-0.004394531, 1.017578, 0.04199219, 10.45953, 4.23, -1.195781,22.94463,0,2,False,True,0
1026,41.78574,49.98385,1007.431,17.20167,-0.001953125, 1.012207, 0.04394531, 9.912656, 3.526875, -0.5707812,33.58762,0,2,False,True,0
1199,49.3506,56.91546,1007.351,17.20625,-0.008789063, 1.012207, 0.04833984, 9.693906, 9.683125, 0.4292188,41.78574,0,2,False,True,0
1380,57.82053,66.29047,1007.461,17.20625,-0.003417969, 0.9941406, 0.046875, 9.053281, 8.88625, -0.1957812,49.3506,0,2,False,True,0
1563,63.58912,69.3577,1007.391,-1,-0.006347656, 0.9765625, 0.06152344, 9.693906, 5.105, -0.4145312,57.82053,0,2,False,True,0
1745,68.96013,74.33114,1007.351,-1,-0.0078125, 1.009766, 0.04589844, 10.41266, -1.660625, -0.6957812,63.58912,0,2,False,True,0
1933,75.09411,81.22809,1007.431,17.20625,-0.009765625, 0.9868164, 0.05224609, 10.35016, 15.69875, -0.8364062,68.96013,0,2,False,True,0
2191,79.40879,83.72347,1007.282,-1,-0.01171875, 1.01416, 0.06005859, 11.94391, 0.07374954, -1.477031,75.09411,0,2,False,True,0
2390,82.51923,85.62967,1007.382,17.22459,-0.004882813, 1.03125, 0.04101563, 13.10016, -5.629375, -1.336406,79.40879,0,2,False,True,0
2584,83.54591,84.57259,1007.393,-1,-0.0004882813, 1.01123, 0.04394531, 12.53766, 5.620625, -1.977031,82.51923,0,2,False,True,0
2780,83.50472,83.46353,1007.473,17.22459,-0.0078125, 0.9931641, 0.05126953, 11.94391, 13.57375, -0.8676562,83.54591,0,2,False,True,0
2982,81.01475,78.52477,1007.313,17.23376,-0.008789063, 1.009277, 0.05566406, 12.03766, 10.40187, -0.8051562,83.54591,1,2,False,True,0
3184,78.66936,76.32397,1007.393,-1,-0.007324219, 1.006836, 0.05615234, 13.25641, 7.0425, -1.695781,83.54591,2,2,False,True,0
3386,78.59706,78.52477,1007.483,-1,-0.006347656, 1.006836, 0.05712891, 12.99078, 3.870625, -2.227031,83.54591,3,2,False,True,0
3691,70.86682,63.13658,1007.353,17.22918,-0.007324219, 0.9941406, 0.06054688, 13.38141, 8.855, -2.492656,83.54591,4,2,False,True,0
3852,64.24638,57.62595,1007.395,17.24293,-0.006347656, 0.9897461, 0.05566406, 12.78766, 5.94875, -2.477031,83.54591,5,3,True,True,0
4019,57.91225,51.57812,1007.414,-1,0.001953125, 0.9873047, 0.05126953, 12.14703, 6.44875, -2.617656,83.54591,5,3,True,True,0
4187,55.04844,52.18463,1007.264,17.24293,0.004882813, 1.008789, -0.1191406, 10.83453, 8.7925, -2.445781,83.54591,5,3,True,True,0
4358,53.37393,51.69942,1007.374,-1,-0.01611328, 1.000977, -0.05371094, 10.74078, 5.058125, -2.805156,83.54591,5,3,True,True,0
4528,49.81602,46.2581,1007.475,17.24751,0.1308594, 1.036621, 0.007324219, 8.428281, -29.05125, -0.2114062,83.54591,5,3,True,True,0
4702,44.34598,38.87594,1007.445,-1,0.02099609, 1.005859, 0.02734375, 10.75641, 23.44875, -0.4145312,83.54591,5,3,True,True,0
4883,43.54314,42.74031,1007.496,-1,-0.01025391, 0.9951172, 0.03955078, 11.22516, -9.566875, 0.7729688,83.54591,5,3,True,True,0
5132,39.99651,36.44987,1007.296,-1,-0.0004882813, 0.9716797, 0.03417969, 12.00641, 9.98, -0.1176562,83.54591,5,3,True,True,0
5312,35.91843,31.84035,1007.397,-1,-0.006347656, 0.9882813, 0.04736328, 12.66266, 7.464375, -1.523906,83.54591,5,3,True,True,0
5494,34.58988,33.26133,1007.447,17.26127,-0.009765625, 0.9858398, 0.0390625, 12.72516, 3.058125, -2.742656,83.54591,5,3,True,True,0
5682,31.86345,29.13702,1007.317,-1,0.0, 1.001465, 0.04003906, 12.53766, 4.57375, -4.539531,83.54591,5,3,True,True,0
5869,27.34635,22.82925,1007.338,-1,-0.006835938, 1.01416, 0.04833984, 11.95953, 10.62062, -5.930156,83.54591,5,3,True,True,0
6060,23.7448,20.14326,1007.319,17.27044,-0.009765625, 1.013672, 0.04296875, 12.16266, 7.82375, -6.086406,83.54591,5,3,True,True,0
6252,20.57504,17.40527,1007.479,-1,-0.009277344, 1.026367, 0.03710938, 11.85016, 7.9175, -5.695781,83.54591,5,3,True,True,0
6519,17.09262,13.61021,1007.479,-1,-0.007324219, 1.019531, 0.03564453, 11.03766, 10.83937, -5.555156,83.54591,5,3,True,True,0
6714,14.56294,12.03326,1007.39,17.29336,-0.0009765625, 1.032715, 0.02978516, 9.897031, 10.1675, -6.430156,83.54591,5,3,True,True,0
6914,11.66051,8.758087,1007.289,17.28877,0.009277344, 0.8901367, 0.03417969, 7.506406, 18.58937, -7.352031,83.54591,5,3,True,True,0
7117,10.49523,9.329941,1007.401,-1,-0.02880859, 0.8515625, 0.03564453, 5.912656, 26.52687, -5.820781,83.54591,5,3,True,True,0
7320,6.620066,2.744904,1007.34,-1,-0.03271484, 0.9575195, 0.05957031, 5.818906, 19.32375, 0.4292188,83.54591,5,3,True,True,0
