time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,2.866203,6.522629,990.0263,18.54473,-0.543457, -0.01806641, -0.7739258, 3.55375, 28.90094, -2.827969,0,1,2,False,False,0
91,4.408489,5.950775,989.9562,-1,-0.543457, -0.0390625, -0.8129883, 2.819375, 23.63531, -2.031094,2.866203,0,2,False,False,0
269,6.973188,9.537888,990.0664,-1,-0.5419922, -0.02832031, -0.7832031, 1.381875, 9.322813, -1.109219,4.408489,0,2,False,False,0
436,12.37118,17.76918,989.9562,-1,-0.5273438, -0.04589844, -0.8154297, 1.335, 12.07281, -1.093594,6.973188,0,2,False,False,0
683,22.92023,33.46928,989.9768,18.54931,-0.4770508, -0.02636719, -0.8222656, 1.194375, 12.49469, -1.484219,12.37118,0,2,False,False,0
854,33.57542,44.23061,989.9872,-1,-0.3432617, -0.07080078, -0.9018555, -0.336875, -8.020937, 0.8595312,22.92023,0,2,False,True,0
1026,41.77963,49.98385,989.9975,-1,-0.5581055, -0.03662109, -0.7431641, -1.07125, -15.80219, 1.140781,33.57542,0,2,False,True,0
1199,49.34755,56.91546,990.0776,18.55848,-0.5834961, -0.008789063, -0.8232422, 0.835, 2.385313, -0.2810938,41.77963,0,2,False,True,0
1380,57.81901,66.29047,989.9768,18.56306,0.1899414, 0.3671875, -0.2358398, 6.319375, -108.3803, 16.28141,49.34755,0,2,False,True,0
1563,63.58835,69.3577,990.0581,-1,-0.6552734, -0.046875, -0.2089844, -12.96187, -287.7241, 36.43766,57.81901,0,2,False,True,0
1745,68.95975,74.33114,990.0078,-1,-0.6108398, 0.2788086, -0.05371094, 3.7725, 22.22906, -0.8123438,63.58835,0,2,False,True,0
1933,75.09392,81.22809,989.9584,18.5814,-0.3173828, 0.01269531, -0.2490234, -0.25875, -7.224062, 1.547031,68.95975,0,2,False,True,0
2191,79.40869,83.72347,990.0787,-1,-0.684082, 0.003417969, -0.4711914, 0.2725, 0.1040626, 0.3907812,75.09392,0,2,False,True,0
2390,82.51918,85.62967,990.0486,-1,-0.8398438, -0.002929688, -0.5361328, 0.319375, 0.3696876, -0.2342188,79.40869,0,2,False,True,0
2584,83.54588,84.57259,989.979,18.5814,-0.8261719, -0.001464844, -0.5317383, 0.319375, 0.3853126, -0.2498438,82.51918,0,2,False,True,0
2780,83.50471,83.46353,989.9388,-1,-0.8115234, 0.0, -0.5249023, 0.288125, 0.2759376, -0.09359384,83.54588,0,2,False,True,0
2982,81.01474,78.52477,990.0291,-1,-0.8251953, -0.001464844, -0.5297852, 0.319375, 0.2759376, -0.2185938,83.54588,1,2,False,True,0
3184,78.66936,76.32397,990.0396,-1,-0.8173828, -0.001953125, -0.5253906, 0.335, 0.2759376, -0.1404688,83.54588,2,2,False,True,0
3386,78.59706,78.52477,989.8987,-1,-0.8217773, -0.002441406, -0.5268555, 0.288125, 0.2915626, -0.2498438,83.54588,3,2,False,True,0
3691,70.86682,63.13658,989.9192,18.60431,-0.8198242, -0.002441406, -0.5253906, 0.335, 0.2915626, -0.1092188,83.54588,4,2,False,True,0
3852,64.24638,57.62595,990.0497,18.6089,-0.8227539, -0.001953125, -0.527832, 0.319375, 0.3228126, -0.1873438,83.54588,5,3,True,True,0
4019,57.91225,51.57812,989.9397,-1,-0.8208008, -0.002441406, -0.5258789, 0.335, 0.2603126, -0.1248438,83.54588,5,3,True,True,0
4187,55.04844,52.18463,990.0199,18.61806,-0.7954102, 0.00390625, -0.7949219, 0.36625, 0.1978126, -0.1248438,83.54588,5,3,True,True,0
