time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.213867,6.522629,1000.707,-1,0.01318359, 0.828125, 0.08398438, 10.72641, 101.223, 12.24703,0,1,1,False,False,0
91,4.582321,5.950775,1000.678,16.72944,-0.04736328, 0.9072266, 0.07421875, 9.273281, 100.473, 12.96578,3.213867,0,1,False,False,0
269,7.060104,9.537888,1000.726,-1,-0.04150391, 1.000977, 0.02246094, 6.382656, 98.86359, 13.23141,4.582321,0,1,False,False,0
436,12.41464,17.76918,1000.758,16.73402,-0.0234375, 1.052734, 0.0004882813, 6.038906, 85.26984, 3.762656,7.060104,0,1,False,False,0
683,22.94196,33.46928,1000.747,-1,-0.1030273, 1.023926, -0.05419922, 10.33578, 100.6761, 6.590781,12.41464,0,1,False,False,0
854,33.58628,44.23061,1000.698,16.73861,0.001953125, 1.09082, 0.02392578, -2.664219, 51.36359, -3.534219,22.94196,0,2,False,True,0
1026,41.78506,49.98385,1000.789,16.75236,-0.03271484, 1.05127, 0.02783203, -5.336094, 29.80109, -2.877969,33.58628,0,2,False,True,0
1199,49.35026,56.91546,1000.709,16.74319,-0.01757813, 0.984375, -0.02832031, 1.663906, 11.37922, -3.487344,41.78506,0,2,False,True,0
1380,57.82037,66.29047,1000.729,-1,0.006347656, 0.9707031, 0.03369141, 5.945156, 16.78547, -7.596719,49.35026,0,2,False,True,0
1563,63.58903,69.3577,1000.729,-1,0.01904297, 1.010254, 0.0546875, 12.07016, 18.78547, -6.456094,57.82037,0,2,False,True,0
1745,68.96008,74.33114,1000.729,-1,0.0390625, 1.085449, -0.001953125, 7.788906, -15.04266, -4.190469,63.58903,0,2,False,True,0
1933,75.09409,81.22809,1000.79,-1,0.1064453, 1.19873, 0.06152344, 2.429531, -25.54266, 3.137656,68.96008,0,2,False,True,0
2191,79.40878,83.72347,1000.751,-1,0.04931641, 0.9882813, -0.05224609, -3.211094, 20.75422, 2.950156,75.09409,0,2,False,True,0
2390,82.51923,85.62967,1000.731,16.77529,0.02099609, 1.03418, 0.01464844, -4.867344, 27.89484, 1.637656,79.40878,0,2,False,True,0
2584,83.54591,84.57259,1000.702,16.77529,-0.01953125, 1.019531, 0.05273438, -7.570469, -27.88641, -1.627969,82.51923,0,2,False,True,0
2780,83.50472,83.46353,1000.792,16.79363,0.03613281, 1.02832, -0.006347656, -11.17984, -40.38641, -0.6123438,83.54591,0,2,False,True,0
2982,81.01475,78.52477,1000.823,-1,-0.004394531, 0.9995117, 0.05273438, -12.38297, 14.26984, 1.793906,83.54591,1,2,False,True,0
3184,78.66936,76.32397,1000.754,-1,-0.01806641, 1.028809, -0.0004882813, -6.929844, -1.277031, 0.1220312,83.54591,2,2,False,True,0
3386,78.59706,78.52477,1000.884,16.79821,0.0546875, 1.016602, 0.01269531, -5.117344, 11.64484, 2.825156,83.54591,3,2,False,True,0
3691,70.86682,63.13658,1000.794,16.81197,0.002441406, 0.9819336, 0.04052734, -2.445469, -5.417656, 2.231406,83.54591,4,2,False,True,0
3852,64.24638,57.62595,1000.794,16.81197,0.04833984, 0.9731445, 0.01806641, -0.7579688, 7.941719, -0.7842188,83.54591,5,3,True,True,0
4019,57.91225,51.57812,1000.775,16.81197,-0.01074219, 0.9794922, 0.04296875, 0.5545312, 4.988594, -3.487344,83.54591,5,3,True,True,0
4187,55.04844,52.18463,1000.785,-1,-0.0009765625, 1.006836, 0.08837891, 4.007656, 11.01984, -3.268594,83.54591,5,3,True,True,0
4358,53.37393,51.69942,1000.815,-1,0.007324219, 1.026367, -0.112793, 4.163906, 15.34797, -5.002969,83.54591,5,3,True,True,0
4528,49.81602,46.2581,1000.806,-1,0.03027344, 1.027832, 0.1030273, 6.773281, 18.25422, -2.627969,83.54591,5,3,True,True,0
4702,44.34598,38.87594,1000.806,-1,0.01464844, 1.01709, 0.05126953, 8.382656, 9.754219, -1.315469,83.54591,5,3,True,True,0
4883,43.54314,42.74031,1000.787,16.83948,0.01904297, 0.9873047, 0.03417969, 7.195156, -1.792656, -2.002969,83.54591,5,3,True,True,0
5132,39.99651,36.44987,1000.837,-1,-0.02050781, 0.9897461, 0.04296875, 4.538906, 1.082344, -2.768594,83.54591,5,3,True,True,0
5312,35.91843,31.84035,1000.797,-1,0.01757813, 0.9736328, 0.01220703, 3.570156, 8.676094, -0.7373438,83.54591,5,3,True,True,0
5494,34.58988,33.26133,1000.768,16.85781,-0.02978516, 0.9643555, 0.05273438, 1.273281, 9.004219, -0.8779688,83.54591,5,3,True,True,0
5682,31.86345,29.13702,1000.829,-1,-0.01025391, 1.018555, 0.04101563, 0.7264062, -3.214531, -0.5967188,83.54591,5,3,True,True,0
5869,27.34635,22.82925,1000.719,16.8624,0.04785156, 1.027344, 0.01416016, -2.351719, -10.99578, 0.7001562,83.54591,5,3,True,True,0
6060,23.7448,20.14326,1000.799,-1,0.02148438, 0.9921875, 0.02099609, -4.070469, 11.42609, -0.2373438,83.54591,5,3,True,True,0
6252,20.57504,17.40527,1000.719,-1,-0.02246094, 0.9702148, 0.05371094, -7.351719, -6.745781, -1.252969,83.54591,5,3,True,True,0
6519,17.09262,13.61021,1000.82,16.87157,0.02734375, 0.9228516, 0.03417969, -6.632969, -34.99578, -0.1904688,83.54591,5,3,True,True,0
6714,14.56294,12.03326,1000.841,16.86699,0.003417969, 0.9160156, 0.05224609, -2.695469, -24.71453, 1.075156,83.54591,5,3,True,True,0
