time_launch_ms,filtered_altitude_ft,unfiltered_altitude_ft,pressure,temperature,acceleration_x_g,acceleration_y_g,acceleration_z_g,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude_ft,apogee_counter,event#,servo_x_state,servo_y_state,error_flag 
25,3.481606,6.522629,999.3605,-1,0.1171875, 0.9960938, 0.09423828, -2.699063, -20.83172, 0.1984377,0.4405823,0,1,False,False,0
91,4.71619,5.950775,999.4009,21.17469,0.1630859, 0.9985352, 0.09863281, -3.558438, -19.83172, -0.2234373,3.481606,0,1,False,False,0
269,7.127039,9.537888,999.4819,21.19302,0.08154297, 0.9858398, 0.1499023, -3.761563, -17.40984, -3.910937,4.71619,0,1,False,False,0
436,12.44811,17.76918,999.3406,21.19302,0.08789063, 0.9926758, 0.159668, -2.105313, -15.48797, 1.120313,7.127039,0,1,False,False,0
683,22.95869,33.46928,999.4417,-1,0.1303711, 0.9873047, 0.1333008, -1.386562, -13.75359, 1.745313,12.44811,0,1,False,False,0
854,33.59465,44.23061,999.5432,-1,0.1347656, 0.996582, 0.1513672, -3.074063, -26.70672, 1.026563,22.95869,0,2,False,True,0
1026,41.78925,49.98385,999.5028,-1,0.1411133, 0.9907227, 0.1542969, -3.714688, -27.19109, -0.5515623,33.59465,0,2,False,True,0
1199,49.35236,56.91546,999.6041,-1,0.1416016, 0.9785156, 0.2084961, -1.370937, -14.72234, -1.535937,41.78925,0,2,False,True,0
1380,57.82141,66.29047,999.5129,-1,0.121582, 0.9912109, 0.1640625, 1.582188, -20.03484, -4.223437,49.35236,0,2,False,True,0
1563,63.58955,69.3577,999.5034,-1,0.1342773, 0.9882813, 0.1914063, 4.441563, -21.28484, -4.348437,57.82141,0,2,False,True,0
1745,68.96034,74.33114,999.4932,21.2205,0.1357422, 0.9897461, 0.171875, 6.550938, -18.73797, -5.379687,63.58955,0,2,False,True,0
1933,75.09422,81.22809,999.5034,21.2205,0.09326172, 0.9936523, 0.09326172, 3.379062, -19.72234, -4.754687,68.96034,0,2,False,True,0
2191,79.40884,83.72347,999.3937,-1,0.09765625, 0.9907227, 0.144043, 3.644687, -19.94109, -5.957812,75.09422,0,2,False,True,0
2390,82.51926,85.62967,999.3937,-1,0.1235352, 0.987793, 0.2001953, 5.082188, -16.20672, -6.707812,79.40884,0,2,False,True,0
2584,83.54593,84.57259,999.3433,21.24798,0.06640625, 0.9902344, 0.1938477, 8.113438, -17.30047, -5.895312,82.51926,0,2,False,True,0
2780,83.50473,83.46353,999.4246,-1,0.08203125, 0.9887695, 0.2260742, 16.64469, -18.94109, -6.239062,83.54593,0,2,False,True,0
2982,81.01476,78.52477,999.4246,21.26172,0.06396484, 0.9892578, 0.1347656, 25.36344, -17.76922, -6.739062,83.54593,1,2,False,True,0
3184,78.66936,76.32397,999.5052,-1,0.0390625, 0.9892578, 0.03173828, 26.61344, -20.67547, -5.129687,83.54593,2,2,False,True,0
3386,78.59706,78.52477,999.4453,21.27088,0.03710938, 1.001465, -0.05322266, 22.28531, -20.70672, -2.942187,83.54593,3,2,False,True,0
3691,70.86682,63.13658,999.3948,-1,0.04296875, 1.00293, -0.05761719, 15.70719, -19.23797, -2.114062,83.54593,4,2,False,True,0
3852,64.24638,57.62595,999.4256,-1,0.04736328, 1.00293, -0.06054688, 8.175938, -20.36297, -0.03593731,83.54593,5,3,True,True,0
4019,57.91225,51.57812,999.4059,-1,0.06347656, 0.9990234, -0.05175781, 4.597813, -20.73797, 0.4015627,83.54593,5,3,True,True,0
4187,55.04844,52.18463,999.3552,21.28462,0.1010742, 0.9936523, -0.08349609, 2.441562, -19.72234, -0.5671873,83.54593,5,3,True,True,0
4358,53.37393,51.69942,999.3457,-1,0.08203125, 0.980957, -0.078125, 1.629063, -20.15984, -1.879687,83.54593,5,3,True,True,0
4528,49.81602,46.2581,999.4677,-1,0.06494141, 0.9916992, -0.01806641, 1.613438, -19.81609, -3.598437,83.54593,5,3,True,True,0
4702,44.34598,38.87594,999.4274,-1,0.2900391, 0.5810547, -0.05859375, -0.6365624, -60.33172, -3.285937,83.54593,5,3,True,True,0
4883,43.54314,42.74031,999.4677,21.31669,0.01855469, 1.013672, -0.00390625, 0.2228125, -10.65984, -3.535937,83.54593,5,3,True,True,0
5132,39.99651,36.44987,999.4377,-1,0.0546875, 0.9990234, -0.03515625, -2.558438, -19.42547, -3.285937,83.54593,5,3,True,True,0
5312,35.91843,31.84035,999.4988,21.33043,0.07275391, 0.9960938, -0.01904297, -5.480312, -21.20672, -4.176562,83.54593,5,3,True,True,0
5494,34.58988,33.26133,999.3778,-1,0.01367188, 1.008301, -0.06054688, -9.761562, -20.56609, -5.645312,83.54593,5,3,True,True,0
5682,31.86345,29.13702,999.4384,-1,0.03466797, 0.996582, 0.01904297, -12.93344, -20.61297, -5.567187,83.54593,5,3,True,True,0
5869,27.34635,22.82925,999.4384,-1,-0.005859375, 0.9990234, 0.08251953, -12.19906, -17.64422, -2.332812,83.54593,5,3,True,True,0
6060,23.7448,20.14326,999.4093,21.33501,0.02539063, 1.000977, 0.05615234, -10.49594, -21.83172, -2.395312,83.54593,5,3,True,True,0
6252,20.57504,17.40527,999.3887,-1,0.03613281, 0.9780273, 0.09423828, -11.16781, -19.51922, -1.301562,83.54593,5,3,True,True,0
