time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
9,-1.162964,-2.575928,991.9293,20.30432,0.09570313, -0.03173828, 1.040527, 0.4282813, 0.7146873, 0.2496874,0.25,0,2,0
24,-1.592194,-2.021423,991.9094,-1,0.09179688, -0.02978516, 1.04248, 0.1314063, 0.6053123, -0.03156257,0.25,1,2,0
39,-0.5460968,0.5,991.8187,-1,0.08837891, -0.03173828, 1.047363, -0.04046869, -0.01968765, -0.07843757,0.25,2,2,0
55,0.1155624,0.7772217,991.8086,20.31806,0.09472656, -0.03271484, 1.046875, -0.2592187, -1.816563, -0.3128126,0.25,3,2,0
70,-0.1081123,-0.3317871,991.8488,-1,0.09619141, -0.02685547, 1.01416, -0.009218693, -1.941563, -0.1409376,0.25,4,2,0
86,-0.5058994,-0.9036865,991.8691,-1,0.1108398, -0.03857422, 1.035156, -0.009218693, 0.5115623, 0.09343743,0.25,5,2,0
102,-0.9777117,-1.449524,991.889,-1,0.08984375, -0.03076172, 1.047363, -0.009218693, 3.261562, 0.1403124,0.25,6,2,0
120,-0.100245,0.7772217,991.8086,20.31348,0.08349609, -0.02929688, 1.05127, -0.1342187, 2.511562, 0.1090624,0.25,7,2,0
135,-0.2160161,-0.3317871,991.8488,-1,0.08447266, -0.03076172, 1.047363, -0.2748437, -0.7384377, -0.0003125668,0.25,8,2,0
152,-1.11872,-2.021423,991.9094,-1,0.09277344, -0.03369141, 1.045898, -0.3373437, -2.519688, 0.01531243,0.25,9,2,0
167,-0.3093598,0.5,991.8187,-1,0.1000977, -0.03515625, 1.042969, 0.1001563, -3.191563, 0.2028124,0.25,10,2,0
182,0.2339309,0.7772217,991.8086,-1,0.09960938, -0.03320313, 1.042969, 0.1157813, -2.207188, 0.1403124,0.25,11,2,0
201,-0.0489281,-0.3317871,991.8488,20.30432,0.1005859, -0.03369141, 1.047363, -0.07171869, -1.816563, 0.1090624,0.25,12,2,0
217,-0.05174676,-0.05456543,991.8386,-1,0.1020508, -0.03076172, 1.045898, -0.04046869, -0.4103127, -0.0003125668,0.25,13,2,0
236,-1.595423,-3.139099,991.9497,20.30432,0.1020508, -0.02978516, 1.04541, 0.1626563, 0.5271873, 0.06218743,0.25,14,2,0
252,-0.963605,-0.3317871,991.8488,-1,0.09472656, -0.03222656, 1.043945, 0.2564063, 1.120937, 0.1559374,0.25,15,2,0
