time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,2.075584,6.522629,991.7738,-1,0.08007813, -0.04248047, 1.037598, -0.6664063, -0.2303123, 0.13375,0,1,2,0
91,4.01318,5.950775,991.8541,-1,0.08251953, -0.02050781, 1.04248, 0.1929687, 0.004062653, -0.006875038,2.075584,0,2,0
269,6.775534,9.537888,991.8541,-1,0.08349609, -0.01611328, 1.047852, 0.06796873, 0.3634377, 0.008749962,4.01318,0,2,0
436,12.27236,17.76918,991.7738,-1,0.08496094, -0.01660156, 1.043945, 0.05234373, 0.004062653, -0.06937504,6.775534,0,2,0
683,22.87082,33.46928,991.7841,-1,0.08544922, -0.01757813, 1.044922, -0.1351563, -0.07406235, 0.02437496,12.27236,0,2,0
854,33.55071,44.23061,991.7944,-1,0.08496094, -0.01904297, 1.045898, -0.1351563, 0.03531265, -0.02250004,22.87082,0,2,0
1026,41.76728,49.98385,991.8541,-1,0.08398438, -0.01806641, 1.04541, -0.05703127, -0.04281235, 0.02437496,33.55071,0,2,0
1199,49.34137,56.91546,991.8644,-1,0.08251953, -0.015625, 1.043945, 0.05234373, 0.2228127, -0.02250004,41.76728,0,2,0
1380,57.81592,66.29047,991.7841,-1,0.08203125, -0.015625, 1.048828, -0.04140627, 0.2228127, -0.08500004,49.34137,0,2,0
1563,63.58681,69.3577,991.7645,-1,0.0859375, -0.01171875, 1.044434, -0.01015627, 0.2071877, 0.008749962,57.81592,0,2,0
1745,68.95897,74.33114,991.8746,-1,0.08251953, -0.02050781, 1.047852, 0.06796873, 0.2071877, -0.03812504,63.58681,0,2,0
1933,75.09353,81.22809,991.8746,-1,0.08447266, -0.01855469, 1.04541, -0.1351563, 0.1290627, -0.02250004,68.95897,0,2,0
2191,79.4085,83.72347,991.8047,-1,0.08349609, -0.01757813, 1.044922, 0.02109373, -0.02718735, -0.006875038,75.09353,0,2,0
