time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
25,3.498508,6.522629,1007.701,19.33297,0.01904297, -0.008300781, 1.088379, 0.09359371, -0.05671883, -0.118125,0.4743881,0,2,0
91,4.724642,5.950775,1007.741,19.33297,0.02636719, -0.008789063, 1.049316, -0.8126563, 0.06828117, -0.243125,3.498508,0,2,0
269,7.131265,9.537888,1007.802,-1,0.01611328, -0.01269531, 1.060059, 0.5779687, -0.02546883, 0.03812504,4.724642,0,2,0
436,12.45022,17.76918,1007.771,-1,0.015625, -0.01367188, 1.050293, 0.7029687, 0.02140617, 0.006875038,7.131265,0,2,0
683,22.95975,33.46928,1007.762,-1,0.01611328, -0.01708984, 1.047852, -0.06265628, 0.03703117, -0.07124996,12.45022,0,2,0
854,33.59518,44.23061,1007.731,19.32838,0.01611328, -0.01318359, 1.04834, -0.3439063, -0.009843826, -0.07124996,22.95975,0,2,0
1026,41.78951,49.98385,1007.771,19.33755,0.01806641, -0.01025391, 1.052246, -0.01578128, 0.05265617, -0.08687496,33.59518,0,2,0
1199,49.35249,56.91546,1007.701,19.32838,0.01611328, -0.01318359, 1.053223, -0.1251563, 0.02140617, 0.02250004,41.78951,0,2,0
1380,57.82148,66.29047,1007.811,19.33297,0.01611328, -0.01660156, 1.043457, -0.1095313, 0.09953117, 0.02250004,49.35249,0,2,0
1563,63.58958,69.3577,1007.701,-1,0.01806641, -0.01318359, 1.050293, -0.2189063, -0.009843826, -0.03999996,57.82148,0,2,0
1745,68.96036,74.33114,1007.711,19.33297,0.015625, -0.01464844, 1.046875, 0.1560937, -0.009843826, -0.03999996,63.58958,0,2,0
1933,75.09422,81.22809,1007.752,-1,0.01757813, -0.01367188, 1.041504, 0.06234372, 0.03703117, 0.006875038,68.96036,0,2,0
2191,79.40884,83.72347,1007.711,-1,0.01660156, -0.01611328, 1.046875, 0.1092187, 0.05265617, 0.006875038,75.09422,0,2,0
2390,82.51926,85.62967,1007.711,19.33297,0.01611328, -0.01269531, 1.048828, 0.09359371, -0.05671883, -0.008749962,79.40884,0,2,0
2584,83.54593,84.57259,1007.711,-1,0.015625, -0.01367188, 1.04248, 0.04671872, -0.04109383, -0.008749962,82.51926,0,2,0
2780,83.50473,83.46353,1007.762,19.32838,0.01611328, -0.01416016, 1.046387, -0.1251563, 0.02140617, 0.03812504,83.54593,0,2,0
2982,81.01476,78.52477,1007.631,-1,0.01757813, -0.01367188, 1.050781, -0.1251563, -0.009843826, 0.02250004,83.54593,1,2,0
3184,78.66936,76.32397,1007.792,-1,0.01708984, -0.01220703, 1.04541, -0.01578128, 0.02140617, -0.008749962,83.54593,2,2,0
3386,78.59706,78.52477,1007.711,-1,0.01660156, -0.01513672, 1.047852, -0.01578128, 0.03703117, -0.02437496,83.54593,3,2,0
3691,70.86682,63.13658,1007.711,-1,0.01611328, -0.01416016, 1.049316, 0.03109372, -0.02546883, -0.05562496,83.54593,4,2,0
3852,64.24638,57.62595,1007.802,-1,0.01660156, -0.01367188, 1.045898, -0.01578128, -0.02546883, 0.006875038,83.54593,5,3,0
4019,57.91225,51.57812,1007.661,-1,0.01660156, -0.01513672, 1.04834, -0.07828128, -0.009843826, -0.008749962,83.54593,5,3,0
4187,55.04844,52.18463,1007.65,-1,0.01464844, -0.01416016, 1.046875, -0.0001562834, -0.02546883, 0.006875038,83.54593,5,3,0
4358,53.37393,51.69942,1007.671,19.33297,0.015625, -0.01220703, 1.047363, -0.1095313, 0.02140617, -0.02437496,83.54593,5,3,0
4528,49.81602,46.2581,1007.792,-1,0.01611328, -0.01367188, 1.04834, 0.03109372, 0.05265617, -0.02437496,83.54593,5,3,0
4702,44.34598,38.87594,1007.631,19.33297,0.01660156, -0.01416016, 1.048828, 0.01546872, 0.03703117, 0.03812504,83.54593,5,3,0
4883,43.54314,42.74031,1007.671,19.33755,0.01611328, -0.01269531, 1.043945, -0.0001562834, 0.05265617, 0.03812504,83.54593,5,3,0
5132,39.99651,36.44987,1007.621,-1,0.01611328, -0.01464844, 1.048828, -0.09390629, -0.009843826, 0.006875038,83.54593,5,3,0
5312,35.91843,31.84035,1007.701,19.32838,0.015625, -0.01074219, 1.046387, -0.03140628, -0.04109383, -0.008749962,83.54593,5,3,0
5494,34.58988,33.26133,1007.711,-1,0.01513672, -0.01367188, 1.04541, 0.03109372, -0.05671883, -0.008749962,83.54593,5,3,0
5682,31.86345,29.13702,1007.711,19.33297,0.01708984, -0.01464844, 1.046875, -0.03140628, 0.06828117, -0.008749962,83.54593,5,3,0
5869,27.34635,22.82925,1007.752,19.33755,0.01708984, -0.01513672, 1.045898, -0.0001562834, 0.02140617, 0.006875038,83.54593,5,3,0
6060,23.7448,20.14326,1007.792,19.33297,0.015625, -0.01416016, 1.049805, 0.03109372, 0.02140617, 0.03812504,83.54593,5,3,0
6252,20.57504,17.40527,1007.711,-1,0.01660156, -0.01464844, 1.04834, -0.07828128, -0.009843826, -0.008749962,83.54593,5,3,0
6519,17.09262,13.61021,1007.792,19.33755,0.01611328, -0.01367188, 1.048828, -0.03140628, -0.009843826, -0.008749962,83.54593,5,3,0
6714,14.56294,12.03326,1007.741,19.33297,0.01660156, -0.01367188, 1.049316, -0.0001562834, 0.02140617, 0.02250004,83.54593,5,3,0
