pressure,raw_altitude
1018.114,-132.52596897784588
1018.135,-133.09702861839048
1018.003,-129.50735242789193
1017.7,-121.26598818139203
1017.124,-105.59375643615877
1016.728,-94.8149279196179
1016.517,-89.07027498472466
1016.262,-82.12639627002474
1015.918,-72.756732040783
1015.806,-69.7055893266296
1015.623,-64.71965386850249
1015.37,-57.825331802553
1015.279,-55.34521574661222
1015.208,-53.410055136241354
1015.247,-54.47304424731316
1015.288,-55.590509970322415
1015.469,-60.523275639637795
1015.55,-62.73052582502172
1015.469,-60.523275639637795
1016.034,-75.9165570191927
1016.236,-81.41831369564309
1016.458,-87.46377749453254
1016.436,-86.86472520574522
1016.454,-87.35485967747476
1016.654,-92.8003254338462
1016.925,-100.17754773824068
1016.783,-96.31219069192836
1017.014,-102.59997830284053
1017.184,-107.22661583024697
1017.131,-105.78426071758503
1017.283,-109.92066333509445
1017.515,-116.23315521689211
1017.614,-118.92649311543266
1017.714,-121.64682106447248
1017.854,-125.454916604829
1017.912,-127.03243193847214
1018.032,-130.29602571276817
1018.011,-129.72491928898634
1018.253,-136.30566258332004
1018.171,-134.07596581361756
1018.201,-134.89172540069293
1018.231,-135.70746552623447
1018.312,-137.909866662837
1018.231,-135.70746552623447
1018.322,-138.18175820035077
1018.312,-137.909866662837
1018.17,-134.04877349218714
1018.322,-138.18175820035077
1018.21,-135.13644948178128
